region,locationID,companyID,companyNAME,year2018
Дніпропетровська,121212,19311369,"ТОВ ВКФ ""НАЙС"" М. ДНIПРО",45.66
Івано-Франківська,260477,19400274,ГВIЗДЕЦЬКЕ  ККП  С-ЩЕ ГВIЗДЕЦЬ КОЛОМИЙСЬКОГО Р-НУ,0.008
Івано-Франківська,260013,19400280,ВЕРХОВИНСЬКЕ ВКП СМТ ВЕРХОВИНА,0.022
Донецька,140929,20315181,"КП ""КОМПАНIЯ ВОДА ДОНБАСУ"" МИРНОГРАДСЬКЕ ВУВКГ М.МИРНОГРАД",3.708
Житомирська,180677,20417050,"КП ""IРШАНСЬКЕ  КОМУНАЛЬНЕ ПIДРИЄМСТВО"" IРШАНСЬКОЇ СЕЛИЩНОЇ Р",0.249
Житомирська,180495,20417222,"КОРОСТИШIВСЬКЕ МIСЬКЕ КОМУНАЛЬНЕ ПIДПРИЄМСТВО ""ВОДОКАНАЛ""",0.482
Івано-Франківська,260281,20549521,"ВОРОХТЯНСЬКА НАВЧ.СПОРТ.БАЗА ""ЗАРОСЛЯК"" СМТ.ВОРОХТА",0.003
Львівська,460100,20794427,"КП ""КАМ`ЯНКАВОДОКАНАЛ""",0.183
Львівська,460573,20794427,"КП ""КАМ`ЯНКАВОДОКАНАЛ""  (СМТ. НОВИЙ ЯРИЧIВ)",0.005
Львівська,460004,20801937,"КП ""БРОДИВОДОКАНАЛ""",0.062
Львівська,460209,20845840,СОКАЛЬСЬКЕ МКП ВОДОПРОВIДНО-КАНАЛIЗАЦIЙНОГО ГОСПОДАРСТВА,0.881
Одеська,510739,20937068,"КП ""Б.-ДНIСТРОВСЬКВОДОКАНАЛ"" М.Б.-ДНIСТРОВСЬКИЙ",1.567
Полтавська,530412,21067735,"ПИРЯТИНСЬКI ГОСПРОЗРАХУНКОВI ОЧИСНI СПОРУДИ, М. ПИРЯТИН",0.636
Рівненська,560479,21082717,"САНАТОРIЙ ""ЧЕРВОНА КАЛИНА"" РIВНЕНСЬКИЙ РАЙОН С.ЖОБРИН",0.019
Сумська,590435,21103081,"КП ""ВОДОКАНАЛ"", М.ЛЕБЕДИН",0.074
Тернопільська,610373,21162244,"ВАТ ""САНАТОРIЙ ""МЕДОБОРИ"", с.КОНОПКIВКА",0.046
Харківська,630792,21183364,ВККУ ЛЮБОТИНСЬКОЇ МIСЬКОЇ РАДИ,0.092
Харківська,630389,21252504,"""НОВОВОДОЛАЗЬКЕ ВКП"",  СМТ.Н.ВОДОЛАГА",0.095
Хмельницька,680631,21312761,ХМЕЛЬН.ОБЛ.ГОСПIТАЛЬ ВЕТЕРАНIВ ВIЙНИ С.РУЖИЧАНКА ХМЕЛЬНИЦЬКО,0.036
Черкаська,710169,21374420,"КП ""ВОДОКАHАЛ"", М.КОРСУHЬ-ШЕВЧЕНКIВСКИЙ",0.035
Запорізька,231316,2176114090,"ФОП  ""СОСКОВ Ю.Є."" М.ЗАПОРIЖЖЯ",0.005
Закарпатська,210613,22115583,"СМТ.ВИШКОВО, ВУЖКГ",0.009
Львівська,461108,22338461,"ОКЗ ""ПIДКАМIНСЬКА СПЕЦ. ЗАГАЛ. ОСВIТ. ШКОЛА - IНТЕР. I-III С",0.001
Львівська,460400,22344616,"КП ""ГОРОДОЦЬКЕ ВОДОПРОВIДНО-КАНАЛIЗАЦIЙНЕ ГОСПОДАРСТВО"" (М.",0.061
Львівська,460878,22358363,"КП ""НЕСЛУХIВ""",0.002
Львівська,460199,22390774,СКОЛIВСЬКЕ КОМУНАЛЬНЕ ПIДПРИЄМСТВО ВОДОПРОВIДНО-КАНАЛIЗАЦ. Г,0.041
Львівська,460876,22423391,ЖКС ПРИ ДАШАВСЬКIЙ СЕЛИЩНIЙ  РАДI,0.005
Рівненська,560314,22585030,"КП ""КОСТОПIЛЬВОДОКАНАЛ""",0.498
Харківська,630798,22714272,ПЕРВОМАЙСЬКЕ КПУВКГ,0.73
Сумська,590438,22984356,"КП СЕРЕДИНО-БУДСЬКА ЖРЕД, СМТ.СЕРЕДИНА-БУДА",0.053
Кіровоградська,350128,23221436,НОВОУКРАIНСЬКЕ ЖКП,0.061
Хмельницька,680723,23653503,"САНАТ-ПРОФIЛАКТ ""ЯБЛУНЕВИЙ САД""ХМОБЛЕНЕРГО""С.ЖИЛИНЦI ЯРМОЛИН",0.005
